Movie Name,Rating,Votes,Duration (Min),Genre
The Unholy Trinity,6.1,424,95,Action
Gladiator II,6.5,251000,148,Action
Dune: Part Two,8.5,641000,166,Action
Venom: The Last Dance,6.0,129000,110,Action
The Beekeeper,6.3,162000,105,Action
Civil War,7.0,243000,109,Action
Twisters,6.5,175000,122,Action
The Ministry of Ungentlemanly Warfare,6.8,139000,122,Action
Deadpool & Wolverine,7.5,506000,128,Action
Kraven the Hunter,5.5,63000,127,Action
Carry-On,6.5,171000,119,Action
The Fall Guy,6.8,226000,126,Action
Furiosa: A Mad Max Saga,7.5,291000,148,Action
Madame Web,4.0,103000,116,Action
Freaky Tales,6.2,7100,107,Action
Cells at Work!,6.7,725,109,Action
Sonic the Hedgehog 3,6.9,64000,110,Action
The Count of Monte-Cristo,7.6,37000,178,Action
Dirty Angels,4.4,4000,104,Action
Rebel Ridge,6.8,91000,131,Action
Fight or Flight,6.4,14000,102,Action
Borderlands,4.7,50000,101,Action
Transformers One,7.6,54000,104,Action
Argylle,5.6,94000,139,Action
Godzilla x Kong: The New Empire,6.0,124000,115,Action
Road House,6.2,170000,121,Action
Kingdom of the Planet of the Apes,6.8,155000,145,Action
Elevation,5.6,24000,91,Action
Damsel,6.1,111000,110,Action
Bad Boys: Ride or Die,6.5,102000,115,Action
Absolution,5.2,8800,112,Action
The Prosecutor,6.6,2600,117,Action
The Union,5.4,54000,107,Action
Maharaja,8.4,70000,141,Action
Land of Bad,6.6,52000,113,Action
The Crow,4.7,37000,111,Action
Red One,6.3,142000,123,Action
The Lord of the Rings: The War of the Rohirrim,6.3,33000,134,Action
The Instigators,6.2,39000,101,Action
Kung Fu Panda 4,6.3,70000,94,Action
Homestead,5.2,4100,112,Action
Survive,4.6,3100,90,Action
Drive-Away Dolls,5.4,24000,84,Action
Monkey Man,6.8,93000,121,Action
The Killer,5.7,14000,126,Action
The Shadow Strays,6.5,9600,144,Action
Beverly Hills Cop: Axel F,6.4,82000,118,Action
Canary Black,5.4,12000,101,Action
Arcadian,5.5,24000,92,Action
The Killer's Game,5.8,18000,104,Action
